Title,Author,Publish Year,Edition Count,Subject,Work ID,Book Age,Publication Decade,Edition Category
Saint Thomas Aquinas,Gilbert Keith Chesterton,1933,78,Religion,/works/OL76412W,92,1930,Low
The Profits of Religion (An Essay in Economic Interpretation),Upton Sinclair,1900,77,Religion,/works/OL115009W,125,1900,Low
Folk-lore in the Old Testament,James George Frazer,1907,73,Religion,/works/OL1159647W,118,1900,Low
Camino de perfección [por] Santa Teresa de Jesús,Teresa of Avila,1632,71,Religion,/works/OL313297W,393,1630,Low
De Natura deorum,Cicero,1718,70,Religion,/works/OL67545W,307,1710,Low
Ich und du,Martin Buber,1922,69,Religion,/works/OL12337W,103,1920,Low
The miracles of our Lord,George MacDonald,1870,68,Religion,/works/OL15404W,155,1870,Low
Phänomenologie des Geistes,Georg Wilhelm Friedrich Hegel,1907,68,Religion,/works/OL678515W,118,1900,Low
Aids to reflection in the formation of a manly character,Samuel Taylor Coleridge,1800,67,Religion,/works/OL25979W,225,1800,Low
Go Tell It on the Mountain,James Baldwin,1952,66,Religion,/works/OL228705W,73,1950,Low
Roots,Alex Haley,1861,63,Religion,/works/OL1815447W,164,1860,Low
"The crook in the lot, or, The sovereignty and wisdom of God displayed in the afflictions of men",Thomas Boston,1770,61,Religion,/works/OL1135388W,255,1770,Low
Reincarnation and the Law of Karma,William Walker Atkinson,1908,58,Religion,/works/OL3875843W,117,1900,Low
Mao Tŝe-tung's quotations,Mao Zedong,1962,58,Religion,/works/OL345423W,63,1960,Low
Hebrew Union College Annual,Hebrew Union College Press Staff,1949,55,Religion,/works/OL21543894W,76,1940,Low
A dish of orts,George MacDonald,1893,55,Religion,/works/OL15382W,132,1890,Low
Khureb BeRuahk Sword of the Spirit,Windy,1923,54,Religion,/works/OL36731881W,102,1920,Low
Le Mythe de l'éternel retour,Mircea Eliade,1949,54,Religion,/works/OL748595W,76,1940,Low
The fire next time,James Baldwin,1962,54,Religion,/works/OL2683364W,63,1960,Low
Coloring Book of Shadows,Amy Cesari,2016,52,Religion,/works/OL22708239W,9,2010,Low
Primitive Culture,Edward Burnett Tylor,2010,51,Religion,/works/OL21123651W,15,2010,Low
Il Combattimento Spirituale,Lorenzo Scupoli,1594,51,Religion,/works/OL4959706W,431,1590,Low
"Before philosophy, the intellectual adventure of ancient man",Henri Frankfort,1946,50,Religion,/works/OL1141014W,79,1940,Low
Nanhua jing,Zhuangzi,1889,49,Religion,/works/OL2423610W,136,1880,Low
History of the Negro Race in America,George Washington Williams,1882,49,Religion,/works/OL249235W,143,1880,Low
Round the Bend,Nevil Shute,1951,48,Religion,/works/OL2779764W,74,1950,Low
"A child called ""it""",David J. Pelzer,1987,48,Religion,/works/OL66946W,38,1980,Low
Kitāb al-ḥujjah,Judah ha-Levi,1546,48,Religion,/works/OL1320826W,479,1540,Low
Guesses at truth,Augustus J. C. Hare,1827,48,Religion,/works/OL3506817W,198,1820,Low
Egyptian ideas of the future life,E. A. Wallis Budge,1899,47,Religion,/works/OL1146257W,126,1890,Low
The white goddess,Robert Graves,1920,47,Religion,/works/OL5036950W,105,1920,Low
Vers une architecture,Le Corbusier,1923,45,Religion,/works/OL15164456W,102,1920,Low
Cristianos Sin Jesus en el Infierno,Luis Dávila,2017,45,Religion,/works/OL21865037W,8,2010,Low
The Power of Now,Eckhart Tolle,1997,45,Religion,/works/OL5727686W,28,1990,Low
An Essay on the Development of Christian Doctrine,John Henry Newman,1845,45,Religion,/works/OL1144821W,180,1840,Low
