Title,Author,Publish Year,Edition Count,Subject,Work ID
Rebecca,Daphne du Maurier,1938,200,Love,/works/OL36633W
Ars Amatoria,Ovid,1494,199,Love,/works/OL97725W
Bracebridge Hall,Washington Irving,1800,166,Love,/works/OL63915W
Mémoires d'Hadrien,Marguerite Yourcenar,1951,153,Love,/works/OL106837W
Μένων,Plato,1869,150,Love,/works/OL51940W
Letters to a young poet,Rainer Maria Rilke,1656,144,Love,/works/OL3800761W
Romeo and Juliet (adaptation),William Shakespeare,1748,139,Love,/works/OL2694991W
الروض العاطر في نزهة الخاطر,ʻUmar ibn Muḥammad Nafzāwī,1886,139,Love,/works/OL905626W
Φαῖδρος,Plato,1792,138,Love,/works/OL51816W
Guess How Much I Love You,Sam McBratney,1994,129,Love,/works/OL58402W
Psychopathia sexualis,Richard von Krafft-Ebing,1886,122,Love,/works/OL15822096W
The Quiet American,Graham Greene,1940,117,Love,/works/OL106081W
Hernani,Victor Hugo,1830,116,Love,/works/OL1064116W
La casa de los espíritus,Isabel Allende,1982,116,Love,/works/OL1905255W
Das Parfum,Patrick Süskind,1985,106,Love,/works/OL10834W
"Annonce Faite a Marie, L'",Paul Claudel,1912,106,Love,/works/OL1098844W
East of Eden,John Steinbeck,1952,104,Love,/works/OL23166W
The Art of Loving,Erich Fromm,1956,101,Love,/works/OL1184991W
Libro de buen amor,Juan Ruiz,1900,99,Love,/works/OL3650890W
Vies des dames galantes,"Pierre de Bourdeille, seigneur de Brantôme",1722,96,Love,/works/OL2100998W
Stepping heavenward,Elizabeth Prentiss,1869,92,Love,/works/OL811123W
Como agua para chocolate,Laura Esquivel,1989,82,Love,/works/OL953162W
Nesnesitelná lehkost bytí,Milan Kundera,1984,81,Love,/works/OL8972751W
Introduction à la vie dévote,Francis de Sales,1662,67,Love,/works/OL1140014W
De l'amour,Stendhal,1800,66,Love,/works/OL733306W
Insurgent,Veronica Roth,2011,64,Love,/works/OL16325201W
The Little Tin Soldier,Hans Christian Andersen,1900,63,Love,/works/OL25423W
Bodas de sangre,Federico García Lorca,1935,61,Love,/works/OL10342794W
Allegiant,Veronica Roth,2011,60,Love,/works/OL16808471W
Five Little Peppers Grown Up,Margaret Sidney,1892,60,Love,/works/OL1528826W
The postman always rings twice,James M. Cain,1934,59,Love,/works/OL3480719W
Romance,Joseph Conrad,1900,58,Love,/works/OL39059W
A severed head,Iris Murdoch,1961,57,Love,/works/OL1326348W
The greatest thing in the world,Henry Drummond,1890,56,Love,/works/OL8379727W
Catullus,Gaius Valerius Catullus,1554,55,Love,/works/OL15229223W
Wicked,Gregory Maguire,1995,54,Love,/works/OL66218W
Ramona,Helen Hunt Jackson,1884,54,Love,/works/OL1800220W
Enten-eller,Søren Kierkegaard,1843,51,Love,/works/OL112738W
Enneads,Plotinus,1914,51,Love,/works/OL67087W
"Can't You Sleep, Little Bear?",Martin Waddell,1988,51,Love,/works/OL114207W
Love's coming-of-age,Edward Carpenter,1896,50,Love,/works/OL1041147W
Virginibus puerisque,Robert Louis Stevenson,1881,49,Love,/works/OL24159W
Del amor y otros demonios,Gabriel García Márquez,1994,49,Love,/works/OL468850W
A Girl of the Limberlost,Gene Stratton-Porter,1909,48,Love,/works/OL42384W
Stargirl,Jerry Spinelli,2000,47,Love,/works/OL77100W
Estudios sobre el amor,José Ortega y Gasset,1939,47,Love,/works/OL504343W
Theodosius,Nathaniel Lee,1680,45,Love,/works/OL149807W
"Revelations of divine love, recorded by Julian, anchoress at Norwich, A.D. 1373",Julian of Norwich,1901,45,Love,/works/OL742115W
The Five Love Languages,Gary D. Chapman,1992,45,Love,/works/OL1680319W
Owl Babies,Martin Waddell,1975,45,Love,/works/OL114136W
H.R.H.,Danielle Steel,2006,44,Love,/works/OL19692W
Forever,Judy Blume,1957,44,Love,/works/OL1838409W
The Summer of the Swans,Betsy Cromer Byars,1970,44,Love,/works/OL279226W
Hester,Margaret Oliphant,1883,42,Love,/works/OL890472W
"A defence of poetry, by P.B. Shelley",Percy Bysshe Shelley,1890,42,Love,/works/OL14853182W
Surprised by Joy,C. S. Lewis,1955,40,Love,/works/OL71159W
En man som heter Ove,Fredrik Backman,2012,40,Love,/works/OL16793865W
Tirukkur̲aḷ,Tiruvaḷḷuvar.,1927,40,Love,/works/OL331347W
Love You Forever,Robert N. Munsch,1986,39,Love,/works/OL88707W
Cendrillon,Charles Perrault,1886,38,Love,/works/OL23868W
Hite Report Women & Love,Shere Hite,1976,37,Love,/works/OL2815101W
Born in Fire,Nora Roberts,1994,36,Love,/works/OL111532W
The Black Stallion,Walter Farley,1941,36,Love,/works/OL869965W
Denier du Reve,Marguerite Yourcenar,1934,36,Love,/works/OL106856W
The Time Traveler's Wife,Audrey Niffenegger,2003,36,Love,/works/OL4720160W
Le coup de grâce,Marguerite Yourcenar,1939,36,Love,/works/OL106854W
Immortal wife,Irving Stone,1940,35,Love,/works/OL111997W
Love,Toni Morrison,1999,35,Love,/works/OL15843891W
Red Queen,Victoria Aveyard,2015,35,Love,/works/OL17356883W
Teleny,Anonymous,1893,35,Love,/works/OL7955184W
Les Amities Particulaires,Roger Peyrefitte,1945,35,Love,/works/OL2434523W
Jazz,Toni Morrison,1992,34,Love,/works/OL50563W
The art of courtly love,Andreas Capellanus,1941,34,Love,/works/OL4810255W
The Thirty-Nine Steps,John Buchan,1915,881,Thriller,/works/OL76524W
The deerslayer,James Fenimore Cooper,1841,504,Thriller,/works/OL77950W
Mr. Standfast,John Buchan,1918,437,Thriller,/works/OL76598W
White Fang,Jack London,1905,387,Thriller,/works/OL74504W
A strange disappearance,Anna Katharine Green,1879,306,Thriller,/works/OL4885721W
The Evil Shepherd,Edward Phillips Oppenheim,1922,290,Thriller,/works/OL2681032W
A Tale of Three Lions,H. Rider Haggard,2004,215,Thriller,/works/OL17455W
The Beetle. A Mystery,Richard Marsh,1897,211,Thriller,/works/OL827304W
An American Tragedy,Theodore Dreiser,1900,210,Thriller,/works/OL100239W
Casino Royale,Ian Fleming,1953,164,Thriller,/works/OL85753W
Michel Strogoff,Jules Verne,1876,152,Thriller,/works/OL1099641W
"From Russia, with love",Ian Fleming,1957,150,Thriller,/works/OL85732W
Goldfinger,Ian Fleming,1958,144,Thriller,/works/OL85750W
In Secret,Robert W. Chambers,1919,142,Thriller,/works/OL8127199W
The Drums of Jeopardy,Harold MacGrath,1920,140,Thriller,/works/OL2344450W
Nightmare Abbey,Thomas Love Peacock,1818,140,Thriller,/works/OL2713465W
The Eye of Osiris,R. Austin Freeman,1911,136,Thriller,/works/OL13150029W
Live and let die,Ian Fleming,1954,135,Thriller,/works/OL85746W
Doctor No,Ian Fleming,1958,119,Thriller,/works/OL85736W
Diamonds are Forever,Ian Fleming,1956,117,Thriller,/works/OL85747W
Robur le conquérant,Jules Verne,1886,113,Thriller,/works/OL1099693W
The Pillars of the Earth,Ken Follett,1989,111,Thriller,/works/OL1914022W
The Spy Who Loved Me,Ian Fleming,1962,108,Thriller,/works/OL85742W
Moonraker,Ian Fleming,1955,107,Thriller,/works/OL85743W
You Only Live Twice,Ian Fleming,1964,105,Thriller,/works/OL267791W
The Man with the Golden Gun,Ian Fleming,1965,95,Thriller,/works/OL85741W
Thunderball,Ian Fleming,1961,94,Thriller,/works/OL85745W
For Your Eyes Only,Ian Fleming,1959,93,Thriller,/works/OL85748W
Le Chancellor,Jules Verne,1875,89,Thriller,/works/OL1099842W
On Her Majesty's Secret Service,Ian Fleming,1963,88,Thriller,/works/OL85744W
The Devil Doctor,Sax Rohmer,1916,84,Thriller,/works/OL2288670W
Storm Island,Ken Follett,1978,83,Thriller,/works/OL1914088W
A Time to Kill,John Grisham,1989,79,Thriller,/works/OL77001W
Män som hatar kvinnor,Stieg Larsson,2005,78,Thriller,/works/OL5784622W
The Lost World,Michael Crichton,1995,78,Thriller,/works/OL46876W
The Chamber,John Grisham,1994,75,Thriller,/works/OL77002W
The Eagle has Landed,Henry Patterson,1975,72,Thriller,/works/OL157343W
War in heaven,Charles Williams,1930,68,Thriller,/works/OL1155806W
The Rainmaker,John Grisham,1995,67,Thriller,/works/OL77021W
The Centaur,Algernon Blackwood,1911,65,Thriller,/works/OL2700650W
A Coffin for Dimitrios,Eric Ambler,1939,65,Thriller,/works/OL3297229W
Killing Floor,Lee Child,1997,64,Thriller,/works/OL24477958W
Timeline,Michael Crichton,1999,64,Thriller,/works/OL46884W
Saving Faith,David Baldacci,1999,64,Thriller,/works/OL41243W
The Hunt for Red October,Tom Clancy,1984,63,Thriller,/works/OL159452W
The Avenger,Edward Phillips Oppenheim,1908,62,Thriller,/works/OL2681027W
Jack Tier or the Florida Reef,James Fenimore Cooper,1800,61,Thriller,/works/OL78046W
Red Dragon,Thomas Harris,1981,60,Thriller,/works/OL23480W
Ante la bandera (Face au drapeau),Jules Verne,1897,60,Thriller,/works/OL1099321W
The Lincoln Lawyer (Mickey Haller #1),Michael Connelly,1895,59,Thriller,/works/OL111746W
The Malefactor,Edward Phillips Oppenheim,1906,58,Thriller,/works/OL2681041W
The Tommyknockers,Stephen King,1985,58,Thriller,/works/OL81593W
The Woods,Harlan Coben,1849,57,Thriller,/works/OL79339W
2nd Chance,James Patterson,2002,56,Thriller,/works/OL167157W
Jack & Jill,James Patterson,1714,56,Thriller,/works/OL167185W
"Homeward Bound, Or, The Chase: A Tale of the Sea",James Fenimore Cooper,1800,55,Thriller,/works/OL77956W
Predator,Patricia Cornwell,1742,55,Thriller,/works/OL134374W
The Black Dahlia,James Ellroy,1987,55,Thriller,/works/OL553754W
The Visitor,Lee Child,2000,55,Thriller,/works/OL52936W
The Man from St. Petersburg,Ken Follett,1982,54,Thriller,/works/OL15649851W
Roses Are Red,James Patterson,1752,54,Thriller,/works/OL167175W
The King of Torts,John Grisham,1999,53,Thriller,/works/OL77011W
Last Man Standing,David Baldacci,2001,53,Thriller,/works/OL41254W
The Great Secret,Edward Phillips Oppenheim,1907,53,Thriller,/works/OL2681033W
One Shot,Lee Child,2005,52,Thriller,/works/OL52953W
The Secret History,Donna Tartt,1992,52,Thriller,/works/OL4321141W
Night of the Fox,Henry Patterson,1757,51,Thriller,/works/OL157448W
The sea lions,James Fenimore Cooper,1800,51,Thriller,/works/OL78065W
Stormbreaker,Anthony Horowitz,2000,51,Thriller,/works/OL80763W
A Taste for Death,P. D. James,1986,50,Thriller,/works/OL510879W
Point Blanc,Anthony Horowitz,2001,49,Thriller,/works/OL84778W
Ὀδύσσεια,Όμηρος,1488,1064,Poetry,/works/OL61982W
Faust,Johann Wolfgang von Goethe,1800,633,Poetry,/works/OL52456W
The Prophet,Kahlil Gibran,1900,569,Poetry,/works/OL318900W
La Poetica,Aristotle,1479,498,Poetry,/works/OL151515W
Flower Fables,Louisa May Alcott,1854,448,Poetry,/works/OL30056W
Inferno,Dante Alighieri,1767,446,Poetry,/works/OL93227W
Poems,William Wordsworth,1807,372,Poetry,/works/OL26386W
Os Lusíadas,Luís de Camões,1572,367,Poetry,/works/OL848771W
Tender Buttons,Gertrude Stein,1914,365,Poetry,/works/OL35395W
Fables,Jean de La Fontaine,1678,345,Poetry,/works/OL50348W
Godfrey of Bulloigne,Torquato Tasso,1581,326,Poetry,/works/OL502943W
An essay on man,Alexander Pope,1733,315,Poetry,/works/OL79353W
Milton's Poems,John Milton,1605,292,Poetry,/works/OL810990W
Il Paradiso,Dante Alighieri,1595,291,Poetry,/works/OL93230W
The Raven,Edgar Allan Poe,1845,287,Poetry,/works/OL41081W
Ἱστορίαι,Ἡρόδοτος,1494,284,Poetry,/works/OL15678068W
Hudibras,Samuel Butler,1662,283,Poetry,/works/OL3159983W
Helen of Troy,Andrew Lang,1882,282,Poetry,/works/OL415234W
Poems,Alfred Lord Tennyson,1827,281,Poetry,/works/OL15097239W
Poema de mio Cid,Anonymous,1868,269,Poetry,/works/OL886738W
The Hunting of the Snark,Lewis Carroll,1876,255,Poetry,/works/OL151447W
Poetics,Aristotle,1536,252,Poetry,/works/OL13703833W
"The Georgics of Virgil translated by Thomas Neville, ..",Publius Vergilius Maro,1523,248,Poetry,/works/OL15237196W
Q. Horatii Flacci opera,Horace,1498,246,Poetry,/works/OL88208W
The Ballad of Reading Gaol,Oscar Wilde,1896,241,Poetry,/works/OL8271329W
The seasons,James Thomson,1726,240,Poetry,/works/OL1084495W
Poems,Percy Bysshe Shelley,1800,233,Poetry,/works/OL14853463W
Rime,Francesco Petrarca,1475,230,Poetry,/works/OL15469822W
Πολιτικά (Politiká),Aristotle,1492,224,Poetry,/works/OL16247898W
Gitanjali (song offerings),Rabindranath Tagore,1910,217,Poetry,/works/OL308575W
Il purgatorio,Dante Alighieri,1768,216,Poetry,/works/OL93140W
The Professor,Charlotte Brontë,1856,210,Poetry,/works/OL271361W
The ballad of the white horse,Gilbert Keith Chesterton,1911,206,Poetry,/works/OL76455W
Virgils Eclogues translated into English: by W.L. Gent,Publius Vergilius Maro,1556,196,Poetry,/works/OL15237410W
The complete works of Robert Browning Volume XVI,Robert Browning,1800,185,Poetry,/works/OL634478W
The Song of Hiawatha and Other Poems,Henry Wadsworth Longfellow,1800,185,Poetry,/works/OL495934W
Carmina,Horace,1712,183,Poetry,/works/OL88217W
Opera,Publius Vergilius Maro,1502,182,Poetry,/works/OL13086557W
Pharsalia,Lucan,1486,182,Poetry,/works/OL2566239W
Evangeline,Henry Wadsworth Longfellow,1847,177,Poetry,/works/OL495761W
The Bell Jar,Sylvia Plath,1948,177,Poetry,/works/OL1865528W
Lays of ancient Rome,Thomas Babington Macaulay,1800,176,Poetry,/works/OL1237959W
Moments of vision,Thomas Hardy,1889,174,Poetry,/works/OL44912W
Spoon River Anthology,Edgar Lee Masters,1914,171,Poetry,/works/OL267926W
The lady of the lake,Sir Walter Scott,1800,159,Poetry,/works/OL863809W
Rime of the ancient mariner,Samuel Taylor Coleridge,1827,156,Poetry,/works/OL26130W
Eureka,Edgar Allan Poe,1848,155,Poetry,/works/OL41076W
Epigrammata,Marcus Valerius Martialis,1501,155,Poetry,/works/OL2241482W
The song of Hiawatha,Henry Wadsworth Longfellow,1855,154,Poetry,/works/OL495872W
Elegiae,Sextus Propertius,1780,152,Poetry,/works/OL1313851W
The Poems of Emily Dickinson Volume II,Emily Dickinson,1890,151,Poetry,/works/OL51381W
Phantasmagoria and Other Poems,Lewis Carroll,1869,147,Poetry,/works/OL151436W
Troilus and Criseyde,Geoffrey Chaucer,1483,143,Poetry,/works/OL279290W
Poems,William Blake,1783,141,Poetry,/works/OL575443W
Faerie queene,Edmund Spenser,1590,139,Poetry,/works/OL1146502W
Gedichte,Johann Wolfgang von Goethe,1700,136,Poetry,/works/OL15369501W
Veinte poemas de amor y una canción desesperada,Pablo Neruda,1924,135,Poetry,/works/OL979517W
Poems,William Butler Yeats,1895,135,Poetry,/works/OL38847W
Poems (Lover's Complaint / Passionate Pilgrim / Phoenix and the Turtle / Rape of Lucrece / Sonnets / Venus and Adonis),William Shakespeare,1771,134,Poetry,/works/OL16048229W
The poetical works of Sir Walter Scott,Sir Walter Scott,1800,134,Poetry,/works/OL863810W
"Aminta, favola boschereccia",Torquato Tasso,1590,134,Poetry,/works/OL502805W
The Barrack-Room Ballads of Rudyard Kipling,Rudyard Kipling,1892,133,Poetry,/works/OL19992W
The Deserted Village,Oliver Goldsmith,1770,129,Poetry,/works/OL7981250W
Odes,Horace,1635,127,Poetry,/works/OL88216W
The Rape of the Lock,Alexander Pope,1714,125,Poetry,/works/OL79362W
Cyropaedia,Xenophon,1527,122,Poetry,/works/OL687224W
De consolatione philosophiae,Boethius,1483,118,Poetry,/works/OL1393130W
The Odyssey,Όμηρος,1946,118,Poetry,/works/OL26446888W
Idylls of the King,Alfred Lord Tennyson,1859,118,Poetry,/works/OL490919W
Fasti,Ovid,1482,118,Poetry,/works/OL97775W
The Light of Asia,Edwin Arnold,1879,115,Poetry,/works/OL194623W
Satirae,Horace,1763,115,Poetry,/works/OL15249113W
Sein und Zeit,Martin Heidegger,1927,114,Poetry,/works/OL77609W
Lalla Rookh,Thomas Moore,1800,111,Poetry,/works/OL75267W
Hamlet,William Shakespeare,1603,2377,Drama,/works/OL9170454W
King Lear,William Shakespeare,1608,1614,Drama,/works/OL259026W
Mansfield Park,Jane Austen,1814,1108,Drama,/works/OL66530W
All's Well That Ends Well,William Shakespeare,1734,818,Drama,/works/OL362676W
Othello,William Shakespeare,1622,807,Drama,/works/OL258850W
The Tempest,William Shakespeare,1611,804,Drama,/works/OL362699W
Two Gentlemen of Verona,William Shakespeare,1632,772,Drama,/works/OL362671W
A Portrait of the Artist as a Young Man,James Joyce,1818,765,Drama,/works/OL86343W
The House of Mirth,Edith Wharton,1905,694,Drama,/works/OL98587W
"Twelfth Night, or What You Will",William Shakespeare,1734,687,Drama,/works/OL362694W
Adam Bede,George Eliot,1800,543,Drama,/works/OL20935W
Love's Labour's Lost,William Shakespeare,1891,526,Drama,/works/OL24399008W
"Henry VI, Part 3",William Shakespeare,1600,523,Drama,/works/OL258713W
"Villette, a novel",Charlotte Brontë,1853,519,Drama,/works/OL1095403W
Winter's Tale,William Shakespeare,1735,494,Drama,/works/OL362687W
Pericles,William Shakespeare,1609,490,Drama,/works/OL361665W
"Henry IV, Part 2",William Shakespeare,1600,480,Drama,/works/OL362697W
La dame aux camélias [novel],Alexandre Dumas fils,1848,451,Drama,/works/OL259509W
Timon of Athens,William Shakespeare,1734,404,Drama,/works/OL362223W
Much Ado About Nothing,William Shakespeare,1600,401,Drama,/works/OL362691W
"Henry VI, Part 1",William Shakespeare,1735,388,Drama,/works/OL25532590W
Measure for Measure,William Shakespeare,1700,380,Drama,/works/OL17534698W
Hedda Gabler,Henrik Ibsen,1890,371,Drama,/works/OL25129727W
Burya,William Shakespeare,1789,368,Drama,/works/OL9972802W
The Good Soldier,Ford Madox Ford,1915,355,Drama,/works/OL509889W
King John,William Shakespeare,1700,330,Drama,/works/OL362680W
Love's Labour's Lost,William Shakespeare,1598,329,Drama,/works/OL362686W
Der Ritt der Walkuren,Richard Wagner,1800,328,Drama,/works/OL579130W
Measure for Measure,William Shakespeare,1700,317,Drama,/works/OL259017W
King Henry VI. Part 2,William Shakespeare,1600,315,Drama,/works/OL258709W
Daddy-Long-Legs,Jean Webster,1912,299,Drama,/works/OL4322177W
She Stoops To Conquer,Oliver Goldsmith,1773,294,Drama,/works/OL7981267W
Of Mice and Men,John Steinbeck,1937,292,Drama,/works/OL23204W
The Merry Wives of Windsor,William Shakespeare,1602,290,Drama,/works/OL361595W
Cymbeline,William Shakespeare,1734,290,Drama,/works/OL258656W
Henry V [adaptation],William Shakespeare,1805,259,Drama,/works/OL258893W
Kenilworth,Sir Walter Scott,1800,256,Drama,/works/OL863804W
A Doll's House,Henrik Ibsen,1889,255,Drama,/works/OL16249343W
Scaramouche,Rafael Sabatini,1900,255,Drama,/works/OL108456W
Die Leiden des jungen Werthers,Johann Wolfgang von Goethe,1779,246,Drama,/works/OL52556W
Fright Night,NOW Comics,1988,27,Comics,/works/OL17721909W
"It's the Great Pumpkin, Charlie Brown",Charles M. Schulz,1967,19,Comics,/works/OL25886W
Understanding Comics,Scott McCloud,1993,19,Comics,/works/OL276032W
Comics,Zhanming Huang,1996,18,Comics,/works/OL10194293W
Amulet,Kazu Kibuishi,2008,17,Comics,/works/OL8842598W
The lightning thief,Robert Venditti,2005,17,Comics,/works/OL15445307W
Dragman,Steven Appleby,2020,16,Comics,/works/OL20666248W
Queer,Meg-John Barker,2016,14,Comics,/works/OL19671749W
Un autre regard #1-2,Emma Gutierrez,2015,12,Comics,/works/OL19760938W
Gender Queer,Maia Kobabe,2019,12,Comics,/works/OL21337755W
Cat Kid Comic Club,Dav Pilkey,2020,11,Comics,/works/OL19659659W
"Death Note, Vol. 8",Tsugumi Ohba,2005,11,Comics,/works/OL8756324W
When Stars Are Scattered,Victoria Jamieson,2020,10,Comics,/works/OL20757578W
The Gashlycrumb Tinies,Edward Gorey,1981,10,Comics,/works/OL23608W
Yukon Ho!,Bill Watterson,1989,9,Comics,/works/OL3004226W
Identity Crisis,Brad Meltzer,2005,8,Comics,/works/OL1818513W
Virtual Hero,El Rubius,2015,8,Comics,/works/OL17199535W
Batman,Craig Shaw Gardner,1989,8,Comics,/works/OL2756365W
The Titan's Curse,Robert Venditti,2013,8,Comics,/works/OL16591738W
The Red Pyramid,Orpheus Collar,2012,8,Comics,/works/OL16591739W
Wish 1,CLAMP,1996,8,Comics,/works/OL8214685W
The great comic book heroes,Jules Feiffer,1965,8,Comics,/works/OL2029467W
哲学用語図鑑 [Tetsugaku yogo zukan],Masato Tanaka,2015,8,Comics,/works/OL45694134W
I Am Not Okay With This,Charles Forsman,2017,7,Comics,/works/OL19731989W
Brazen,Pénélope Bagieu,2018,6,Comics,/works/OL19737622W
Un autre regard #3,Emma Gutierrez,2018,6,Comics,/works/OL35983286W
Phoebe and Her Unicorn,Dana Simpson,2014,6,Comics,/works/OL17623120W
Superman The Unauthorized Biography,Glen Weldon,2013,6,Comics,/works/OL17579180W
Lumberjanes Vol. 9,N.D. Stevenson,2018,6,Comics,/works/OL24229186W
Zot!,Scott McCloud,1996,6,Comics,/works/OL640815W
The Throne of Fire,Orpheus Collar,2015,6,Comics,/works/OL20010806W
"The Complete Peanuts, 1950 to 1952",Charles M. Schulz,2004,6,Comics,/works/OL20659134W
The last Olympian,Robert Venditti,2019,6,Comics,/works/OL20456365W
Ben 10 Vol. 3 - Mecha Madness,C. B. Lee,2019,5,Comics,/works/OL28387787W
GILES 'Sunday Express' & 'Daily Express' Cartoons,Giles.,1966,5,Comics,/works/OL10547261W
Loving Reaper,Jenny Jinya,2021,5,Comics,/works/OL45587934W
Un autre regard sur le climat,Emma Gutierrez,2019,5,Comics,/works/OL31288391W
We Won't be Erased,Sophie Labelle,2018,4,Comics,/works/OL39384054W
True Believer,Abraham Riesman,2020,4,Comics,/works/OL21899003W
Gotham Central Vol. 1,Greg Rucka,2004,4,Comics,/works/OL14864698W
Gender-Kram,Louie Läuger,2020,4,Comics,/works/OL42527187W
Blue Sky Through the Window of a Moving Car,Jordan Bolton,2024,4,Comics,/works/OL38045137W
Critical survey of graphic novels,Bart Beaty,2012,4,Comics,/works/OL16362666W
"Check, Please! Book 1",Ngozi Ukazu,2018,4,Comics,/works/OL19752380W
Beakman's World,Luann Colombo,1994,4,Comics,/works/OL677485W
Un autre regard #1,Emma Gutierrez,2017,4,Comics,/works/OL31354422W
Hockey Girl Loves Drama Boy,Faith Erin Hicks,2023,4,Comics,/works/OL31118934W
Victory. Stand! Raising My Fist for Justice,Tommie Smith,2022,4,Comics,/works/OL27811331W
What Was Bugging Ol' Pharaoh?,Charles M. Schulz,1964,4,Comics,/works/OL10510960W
"The Steel Prince, The Rebel Army",V.E. Schwab,2020,4,Comics,/works/OL24326159W
You Can With Beakman & Jax,Jok Church,1994,4,Comics,/works/OL2697015W
The photojournal guide to comic books,Ernst Gerber,1989,4,Comics,/works/OL4814517W
Artie and the Wolf Moon,Olivia Stephens,2021,3,Comics,/works/OL24992803W
Huda F Cares?,Huda Fahmy,2023,3,Comics,/works/OL34365318W
For the Love of Peanuts,Elizabeth Anne Hartman,2019,3,Comics,/works/OL27972210W
That Can Be Arranged,Huda Fahmy,2020,3,Comics,/works/OL21874730W
French milk,Lucy Knisley,2000,3,Comics,/works/OL13750824W
Supergirl,Kelley Puckett,2009,3,Comics,/works/OL14854272W
"100 years, 100 stories",George Burns,1996,3,Comics,/works/OL2988349W
George R.R. Martin's Fevre Dream,Daniel Abraham,2011,3,Comics,/works/OL20710069W
Beakman & Jax's Microscope Book,Jok Church,1995,3,Comics,/works/OL2697009W
Lumberjanes Vol. 13,Shannon Watters,2019,3,Comics,/works/OL20639388W
Charlie Brown's 'Cyclopedia Volume 3,Charles M. Schulz,1990,3,Comics,/works/OL15400758W
It's Jeff,Kelly Thompson,2025,3,Comics,/works/OL44247690W
FLCL Vol. 2 (Furi Kuri) (in Japanese),Hajime Ueda,2001,3,Comics,/works/OL5756305W
Lumberjanes Vol. 11,Shannon Watters,2019,3,Comics,/works/OL20155675W
Faster Than a Speeding Bullet,Stephen Weiner,2003,3,Comics,/works/OL6036125W
The comic book heroes,Will Jacobs,1985,3,Comics,/works/OL5477899W
New Kid,Jerry Craft,2019,3,Comics,/works/OL20152649W
"Check, Please! Book 2",Ngozi Ukazu,2020,3,Comics,/works/OL20824171W
I Shall Never Fall in Love,Hari Conner,2024,3,Comics,/works/OL37838109W
The funnies,David Manning White,1963,3,Comics,/works/OL7142158W
Orbiter,Warren Ellis,2003,3,Comics,/works/OL2888304W
Hobo Mom,Max de Radiguès,2015,3,Comics,/works/OL24341377W
Cheshire Crossing,Andy Weir,2019,3,Comics,/works/OL17841386W
The standard catalog of comic books (2003),John Jackson Miller,2002,3,Comics,/works/OL19519451W
Unsung Hero,Harvey Pekar,2003,3,Comics,/works/OL16027486W
Black Widow,Richard K. Morgan,2020,3,Comics,/works/OL20745132W
Aliens Omnibus Volume 1,Mark Verheiden,2007,3,Comics,/works/OL1693066W
Make Your Own Comics,Richard M. Gardner,1976,3,Comics,/works/OL4787716W
The son of Neptune,Robert Venditti,2016,3,Comics,/works/OL19668202W
La torre imposible,El Rubius,2013,3,Comics,/works/OL26382222W
Albert Schweitzers Begegnung mit der Orgel,Rudolf Quoika,1954,3,Comics,/works/OL1383972W
Suzy cookstrip,Suzy Benghiat,1978,3,Comics,/works/OL5360576W
"Syndicated Comic Strips and Artists, 1924-1995",Dave Strickler,1995,2,Comics,/works/OL9744588W
Hellblazer,Tom Taylor,2021,2,Comics,/works/OL25397398W
Comic Book Price Guide,Brent Frankenhoff,2010,2,Comics,/works/OL22489511W
Batgirl,Kelley Puckett,2001,2,Comics,/works/OL15317720W
Malice (Malice #1),Chris Wooding,2009,2,Comics,/works/OL15297324W
Vattu,Evan Dahm,2016,2,Comics,/works/OL36435824W
Vattu,Evan Dahm,2023,2,Comics,/works/OL36435830W
The Sacrificers Vol. 1,Rick Remender,2024,2,Comics,/works/OL37518866W
L’Anarchie,Véronique Bergen,2019,2,Comics,/works/OL26418341W
Night Eaters,Marjorie M. Liu,2022,2,Comics,/works/OL27672672W
Conoce a Bernardo de Gálvez,Guillermo Fesser,2017,2,Comics,/works/OL20683241W
Batman's dark secret,Kelley Puckett,1999,2,Comics,/works/OL14854268W
The Legend of Zelda,姫川明,2000,2,Comics,/works/OL17715880W
La Guerra Civil española,José Pablo García,2016,2,Comics,/works/OL17334442W
You Can With Beakman & Jax,Jok Church,1995,2,Comics,/works/OL16807677W
Night of a thousand Doomsdays,Laurie Sutton,2013,2,Comics,/works/OL16681976W
A Study in Scarlet,Arthur Conan Doyle,1887,1447,Fiction,/works/OL262496W
Persuasion,Jane Austen,1789,1236,Fiction,/works/OL66544W
King Solomon's Mines,H. Rider Haggard,1876,1105,Fiction,/works/OL17448W
The Sign of Four,Arthur Conan Doyle,1889,962,Fiction,/works/OL262438W
Metamorphosis,Franz Kafka,1915,955,Fiction,/works/OL498556W
The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,1583,851,Fiction,/works/OL76341W
Der Proceß,Franz Kafka,1825,783,Fiction,/works/OL498463W
The Cricket on the Hearth,Charles Dickens,1846,774,Fiction,/works/OL14868783W
The Mill on the Floss,George Eliot,1800,763,Fiction,/works/OL20938W
The Valley of Fear,Arthur Conan Doyle,1914,758,Fiction,/works/OL262505W
Twice-Told Tales,Nathaniel Hawthorne,1800,369,Art,/works/OL455489W
The Seven Lamps of Architecture,John Ruskin,1800,245,Art,/works/OL88638W
"Sesame and Lilies, three lectures",John Ruskin,1800,187,Art,/works/OL88547W
Salomé,Oscar Wilde,1893,174,Art,/works/OL14877882W
